,Depósito (Carrefour STN),CLS 307,CLS 114,CLN 110,SOF (Água Mineral),SHIS QI 17 (Lago Sul),CLSW 103,Varjão (entrada),Águas Claras (shopping),Taguatinga Pistão Sul
Depósito (Carrefour STN),0.0,10.370067024901003,13.222590254020949,4.2890788197153755,4.728885240481435,17.939139437277557,10.255106628789344,6.441804550391601,23.102722888741322,25.0337241794135
CLS 307,9.609678262887455,0.0,3.0185013060294623,6.982788039605463,11.384151355739554,8.921858717565282,5.570380379483815,14.42300763311754,18.53854735616053,20.469548646832706
CLS 114,12.16830027215563,3.1962871083948947,0.0,9.54141004887364,12.097064194448084,8.340916150003029,4.745986130889832,16.981629642385716,16.690930602079632,18.62193189275181
CLN 110,3.4886003859836845,7.214244371228151,10.06676760034809,0.0,7.976785161051277,14.649107846829521,8.273819678849781,7.578638150168584,22.457540942722666,24.38854223339484
SOF (Água Mineral),4.238048029686047,10.714010375645957,11.239416803680466,7.580900515356141,0.0,18.37780771327713,7.379595660246832,8.837315498150854,18.824300304736138,20.755301595408316
SHIS QI 17 (Lago Sul),17.043323298106063,9.212961825470332,8.821826076679818,14.306731997125588,18.9043197192601,0.0,12.951702852376624,20.918448907553174,22.7332117155644,23.49542392737719
CLSW 103,10.018535927184587,5.5923441894334935,4.745378952091214,8.340332614123387,7.9524536226040325,12.490803946106517,0.0,14.617803395649386,14.990185639226763,16.921186929898944
Varjão (entrada),4.872908467484899,14.193740905584747,17.04626413470469,7.629203593524677,8.556427019313375,21.4245398177069,15.128015096274241,0.0,26.930264667573265,28.86126595824544
Águas Claras (shopping),21.729408657285312,17.832459332835572,16.388668728346946,22.568788946771168,19.88836695434625,21.402049901174703,15.041475914588728,26.328676125750132,0.0,3.4313019002387684
Taguatinga Pistão Sul,23.73055655794076,19.83360723349102,18.389816629002393,24.569936847426614,21.889514855001696,22.675342275360485,17.042623815244173,28.32982402640558,3.7265905601598224,0.0
