Rank,Cliente_i,Cliente_j,Dist_Deposito_i,Dist_Deposito_j,Dist_i_j,Ganho
1,Águas Claras (shopping),Taguatinga Pistão Sul,23.1,25.03,3.43,44.71
2,Taguatinga Pistão Sul,Águas Claras (shopping),25.03,23.1,3.73,44.41
3,CLS 114,SHIS QI 17 (Lago Sul),13.22,17.94,8.34,22.82
4,SHIS QI 17 (Lago Sul),CLS 114,17.94,13.22,8.82,22.34
5,CLS 307,CLS 114,10.37,13.22,3.02,20.57
6,CLS 114,CLS 307,13.22,10.37,3.2,20.4
7,Taguatinga Pistão Sul,SHIS QI 17 (Lago Sul),25.03,17.94,22.68,20.3
8,Águas Claras (shopping),CLS 114,23.1,13.22,16.39,19.94
9,Taguatinga Pistão Sul,CLS 114,25.03,13.22,18.39,19.87
10,Águas Claras (shopping),SHIS QI 17 (Lago Sul),23.1,17.94,21.4,19.64
11,CLS 114,Taguatinga Pistão Sul,13.22,25.03,18.62,19.63
12,CLS 114,Águas Claras (shopping),13.22,23.1,16.69,19.63
13,SHIS QI 17 (Lago Sul),Taguatinga Pistão Sul,17.94,25.03,23.5,19.48
14,CLS 307,SHIS QI 17 (Lago Sul),10.37,17.94,8.92,19.39
15,SHIS QI 17 (Lago Sul),CLS 307,17.94,10.37,9.21,19.1
16,CLSW 103,CLS 114,10.26,13.22,4.75,18.73
17,CLS 114,CLSW 103,13.22,10.26,4.75,18.73
18,CLSW 103,Águas Claras (shopping),10.26,23.1,14.99,18.37
19,CLSW 103,Taguatinga Pistão Sul,10.26,25.03,16.92,18.37
20,Águas Claras (shopping),CLSW 103,23.1,10.26,15.04,18.32
21,SHIS QI 17 (Lago Sul),Águas Claras (shopping),17.94,23.1,22.73,18.31
22,Taguatinga Pistão Sul,CLSW 103,25.03,10.26,17.04,18.25
23,CLSW 103,SHIS QI 17 (Lago Sul),10.26,17.94,12.49,15.7
24,Águas Claras (shopping),CLS 307,23.1,10.37,17.83,15.64
25,Taguatinga Pistão Sul,CLS 307,25.03,10.37,19.83,15.57
26,SHIS QI 17 (Lago Sul),CLSW 103,17.94,10.26,12.95,15.24
27,CLS 307,CLSW 103,10.37,10.26,5.57,15.05
28,CLSW 103,CLS 307,10.26,10.37,5.59,15.03
29,CLS 307,Taguatinga Pistão Sul,10.37,25.03,20.47,14.93
30,CLS 307,Águas Claras (shopping),10.37,23.1,18.54,14.93
31,SOF (Água Mineral),Taguatinga Pistão Sul,4.73,25.03,20.76,9.01
32,SOF (Água Mineral),Águas Claras (shopping),4.73,23.1,18.82,9.01
33,CLS 114,CLN 110,13.22,4.29,9.54,7.97
34,Águas Claras (shopping),SOF (Água Mineral),23.1,4.73,19.89,7.94
35,SHIS QI 17 (Lago Sul),CLN 110,17.94,4.29,14.31,7.92
36,Taguatinga Pistão Sul,SOF (Água Mineral),25.03,4.73,21.89,7.87
37,CLS 307,CLN 110,10.37,4.29,6.98,7.68
38,SOF (Água Mineral),CLSW 103,4.73,10.26,7.38,7.6
39,CLN 110,SHIS QI 17 (Lago Sul),4.29,17.94,14.65,7.58
40,CLN 110,CLS 114,4.29,13.22,10.07,7.44
41,CLN 110,CLS 307,4.29,10.37,7.21,7.44
42,CLSW 103,SOF (Água Mineral),10.26,4.73,7.95,7.03
43,SOF (Água Mineral),CLS 114,4.73,13.22,11.24,6.71
44,CLN 110,CLSW 103,4.29,10.26,8.27,6.27
45,CLSW 103,CLN 110,10.26,4.29,8.34,6.2
46,CLS 114,SOF (Água Mineral),13.22,4.73,12.1,5.85
47,CLN 110,Taguatinga Pistão Sul,4.29,25.03,24.39,4.93
48,CLN 110,Águas Claras (shopping),4.29,23.1,22.46,4.93
49,Águas Claras (shopping),CLN 110,23.1,4.29,22.57,4.82
50,Taguatinga Pistão Sul,CLN 110,25.03,4.29,24.57,4.75
51,SOF (Água Mineral),CLS 307,4.73,10.37,10.71,4.38
52,SOF (Água Mineral),SHIS QI 17 (Lago Sul),4.73,17.94,18.38,4.29
53,SHIS QI 17 (Lago Sul),SOF (Água Mineral),17.94,4.73,18.9,3.76
54,CLS 307,SOF (Água Mineral),10.37,4.73,11.38,3.71
55,SHIS QI 17 (Lago Sul),Varjão (entrada),17.94,6.44,20.92,3.46
56,Águas Claras (shopping),Varjão (entrada),23.1,6.44,26.33,3.22
57,CLN 110,Varjão (entrada),4.29,6.44,7.58,3.15
58,Taguatinga Pistão Sul,Varjão (entrada),25.03,6.44,28.33,3.15
59,Varjão (entrada),CLN 110,6.44,4.29,7.63,3.1
60,Varjão (entrada),SHIS QI 17 (Lago Sul),6.44,17.94,21.42,2.96
61,CLS 114,Varjão (entrada),13.22,6.44,16.98,2.68
62,Varjão (entrada),CLS 114,6.44,13.22,17.05,2.62
63,Varjão (entrada),CLS 307,6.44,10.37,14.19,2.62
64,Varjão (entrada),Taguatinga Pistão Sul,6.44,25.03,28.86,2.61
65,Varjão (entrada),SOF (Água Mineral),6.44,4.73,8.56,2.61
66,Varjão (entrada),Águas Claras (shopping),6.44,23.1,26.93,2.61
67,CLS 307,Varjão (entrada),10.37,6.44,14.42,2.39
68,SOF (Água Mineral),Varjão (entrada),4.73,6.44,8.84,2.33
69,CLSW 103,Varjão (entrada),10.26,6.44,14.62,2.08
70,Varjão (entrada),CLSW 103,6.44,10.26,15.13,1.57
71,SOF (Água Mineral),CLN 110,4.73,4.29,7.58,1.44
72,CLN 110,SOF (Água Mineral),4.29,4.73,7.98,1.04
