,Depósito (Carrefour STN),CLS 307,CLS 114,CLN 110,SOF (Água Mineral),SHIS QI 17 (Lago Sul),CLSW 103,Varjão (entrada),Águas Claras (shopping),Taguatinga Pistão Sul
Depósito (Carrefour STN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLS 307,0.0,0.0,20.574155972892488,7.676357805010916,3.7148009096428822,19.387347744613276,15.054793274206531,2.388863942175062,14.934242557481792,14.934242557481795
CLS 114,0.0,20.396370170527057,0.0,7.970259024862685,5.8544113000542986,22.820813541295475,18.73171075192046,2.6827651620268327,19.634382540682637,19.634382540682637
CLN 110,0.0,7.444901473388228,7.444901473388235,0.0,1.0411788991455335,7.579110410163411,6.270365769654939,3.1522452199383926,4.934260765734031,4.9342607657340345
SOF (Água Mineral),0.0,4.38494188973648,6.712058690821916,1.4370635448406697,0.0,4.290216964481864,7.604396209023946,2.3333742927221817,9.00730782448662,9.00730782448662
SHIS QI 17 (Lago Sul),0.0,19.096244636708228,22.339903614618684,7.9214862598673434,3.7637049584988915,0.0,15.24254321369028,3.4624950801159855,18.308650610454478,19.47743968931387
CLSW 103,0.0,15.032829464256853,18.732317930719077,6.203852834381333,7.031538246666745,15.703442119960386,0.0,2.0791077835315583,18.367643878303905,18.3676438783039
Varjão (entrada),0.0,2.618130669707856,2.6181306697078597,3.1016797765822997,2.6142627715596607,2.9564041699622585,1.5688960829067025,0.0,2.614262771559659,2.6142627715596625
Águas Claras (shopping),0.0,15.64033058080675,19.936644414415323,4.823012761685529,7.943241174876508,19.639812424844177,18.316353602941938,3.2158513133827924,0.0,44.70514516791606
Taguatinga Pistão Sul,0.0,15.570183970823482,19.866497804432054,4.752866151702261,7.87309456489324,20.297521341330572,18.246206992958673,3.145704703399524,44.409856507995,0.0
